Y;X1;X2
62;49;13
18;11;7
-13;5;-18
-30;1;-31
-59;-13;-46
50;28;22
61;46;15
-3;24;-27
69;19;50
-26;-39;13
5;-24;29
27;-10;37
-10;-17;7
25;29;-4
14;-18;32
57;21;36
21;32;-11
7;-41;48
-4;-40;36
18;3;15
88;38;50
50;16;34
21;-1;22
46;4;42
-20;-5;-15
86;47;39
28;-13;41
-28;-20;-8
80;49;31
-35;-44;9
-16;-10;-6
13;15;-2
-36;-12;-24
-30;-38;8
-13;-41;28
-61;-38;-23
16;-16;32
-7;-18;11
-48;-46;-2
-60;-27;-33
-10;30;-40
33;30;3
36;32;4
-44;-45;1
10;-18;28
15;3;12
-24;-12;-12
3;-43;46
-22;4;-26
23;23;0
15;-34;49
23;23;0
9;-39;48
-14;16;-30
34;33;1
-33;-49;16
31;31;0
-52;-19;-33
36;-1;37
-9;13;-22
-21;21;-42
10;-37;47
-84;-48;-36
-43;-14;-29
3;46;-43
-10;-26;16
-12;-28;16
-46;-14;-32
-61;-21;-40
-56;-24;-32
-18;29;-47
-46;-11;-35
-30;-12;-18
-41;-14;-27
-34;-27;-7
-37;-13;-24
23;23;0
-40;3;-43
68;34;34
29;17;12
45;39;6
42;34;8
-2;-22;20
-13;-32;19
11;-2;13
-6;29;-35
1;25;-24
-17;29;-46
-80;-40;-40
-26;-18;-8
53;34;19
15;30;-15
70;20;50
-12;-21;9
38;-7;45
3;19;-16
78;39;39
-76;-31;-45
13;-6;19
-17;21;-38
-9;-43;34
52;18;34
21;-10;31
-62;-47;-15
-14;-18;4
14;-33;47
-20;-42;22
-6;30;-36
45;11;34
19;10;9
20;4;16
-57;-26;-31
-27;-24;-3
1;-13;14
96;49;47
75;31;44
-14;34;-48
-14;0;-14
-9;33;-42
-14;11;-25
60;45;15
12;23;-11
-93;-44;-49
-86;-44;-42
-84;-40;-44
10;1;9
6;49;-43
-36;-47;11
-20;-48;28
-5;34;-39
0;4;-4
83;34;49
12;-30;42
43;12;31
31;49;-18
20;49;-29
9;36;-27
25;42;-17
42;32;10
26;32;-6
-60;-26;-34
-79;-47;-32
12;15;-3
49;16;33
-39;-14;-25
19;49;-30
-60;-45;-15
-52;-39;-13
-33;-7;-26
38;21;17
-5;10;-15
-11;-9;-2
53;34;19
32;-9;41
0;46;-46
45;-2;47
31;48;-17
-42;-14;-28
0;13;-13
-6;28;-34
-75;-50;-25
56;25;31
29;27;2
4;-45;49
-42;-5;-37
-34;5;-39
32;13;19
23;-4;27
43;35;8
12;3;9
-20;-44;24
25;16;9
-47;-44;-3
-7;4;-11
32;19;13
11;13;-2
-12;-1;-11
65;44;21
36;22;14
29;19;10
-14;-25;11
39;-5;44
47;13;34
-94;-48;-46
-27;13;-40
-79;-40;-39
22;16;6
17;-22;39
9;23;-14
-38;-46;8
1;1;0
-14;-43;29
-81;-34;-47
-1;38;-39
-28;-21;-7
-6;9;-15
-32;-44;12
12;4;8
68;19;49
-30;-3;-27
59;25;34
25;-5;30
-25;19;-44
10;6;4
24;0;24
-88;-46;-42
-15;-2;-13
-83;-44;-39
-64;-50;-14
-71;-34;-37
70;42;28
70;50;20
-21;9;-30
39;6;33
65;32;33
25;-24;49
-10;-43;33
50;14;36
24;11;13
-58;-9;-49
44;13;31
-26;24;-50
45;25;20
-83;-49;-34
-3;16;-19
-35;-31;-4
-22;-12;-10
73;42;31
-28;-19;-9
-16;-3;-13
-15;25;-40
5;20;-15
-84;-45;-39
-20;-20;0
-70;-20;-50
85;41;44
5;-24;29
-58;-14;-44
39;24;15
22;-27;49
8;-23;31
1;-22;23

